seller sku code	mrp	Discount
DKUC-PSUT-183--4-5 years	1899	100
DKUC-PSUT-183--5-6 years	1899	100
DKUC-PSUT-183--6-12 months	1899	100
DKUC-PSUT-183--6-7 years	1899	100
DKUC-PSUT-184--12-18 months	1899	100
DKUC-PSUT-184--18-24 months	1899	100
DKUC-PSUT-184--2-3 years	1899	100
DKUC-PSUT-184--3-4 years	1899	100
DKUC-PSUT-184--3-6 months	1899	100
DKUC-PSUT-184--4-5 years	1899	100
DKUC-PSUT-184--5-6 years	1899	100
DKUC-PSUT-184--6-12 months	1899	100
DKUC-PSUT-184--6-7 years	1899	100
DKUC-PSUT-185--12-18 months	1899	100
DKUC-PSUT-185--18-24 months	1899	100
DKUC-PSUT-185--2-3 years	1899	100
DKUC-PSUT-185--3-4 years	1899	100
DKUC-PSUT-185--3-6 months	1899	100
DKUC-PSUT-185--4-5 years	1899	100
DKUC-PSUT-185--5-6 years	1899	100
DKUC-PSUT-185--6-12 months	1899	100
DKUC-PSUT-185--6-7 years	1899	100
DKUC-SHT-118--18-24 months	2100	100
DKUC-SHT-118--2-3 years	2100	100
DKUC-SHT-118--3-4 years	2100	100
DKUC-SHT-118--4-5 years	2100	100
DKUC-SHT-118--5-6 years	2400	100
DKUC-SHT-118--6-7 years	2400	100
DKUC-SHT-118--7-8 years	2400	100
DKUC-SHT-118--8-9 years	2400	100
DKUC-SHT-118--9-10 years	2400	100
DKUC-SHT-122--18-24 Months	1899	100
DKUC-SHT-122--2-3 Years	1899	100
DKUC-SHT-122--3-4 Years	1899	100
DKUC-SHT-122--4-5 Years	1899	100
DKUC-SHT-122--5-6 Years	1899	100
DKUC-SHT-122--6-7 Years	1899	100
DKUC-SHT-122--7-8 Years	1899	100
DKUC-SHT-122--8-9 Years	1899	100
DKUC-SHT-122--9-10 Years	1899	100
DKUC-SHT-123--18-24 Months	1899	100
DKUC-SHT-123--2-3 Years	1899	100
DKUC-SHT-123--3-4 Years	1899	100
DKUC-SHT-123--4-5 Years	1899	100
DKUC-SHT-123--5-6 Years	1899	100
DKUC-SHT-123--6-7 Years	1899	100
DKUC-SHT-123--7-8 Years	1899	100
DKUC-SHT-123--8-9 Years	1899	100
DKUC-SHT-123--9-10 Years	1899	100
DKUC-SHT-127--18-24 Months-18-24M	1899	100
DKUC-SHT-127--2-3 Years-2-3Y	1899	100
DKUC-SHT-127--3-4 years-3-4Y	1899	100
DKUC-SHT-127--4-5 Years-4-5Y	1899	100
DKUC-SHT-127--5-6 Years-5-6Y	1899	100
DKUC-SHT-127--6-7 Years-6-7Y	1899	100
DKUC-SHT-127--7-8 Years-7-8Y	1899	100
DKUC-SHT-127--8-9 Years-8-9Y	1899	100
DKUC-SHT-127--9-10 Years-9-10Y	1899	100
DKUC-SHT-132--18-24 Months-18-24M	1899	100
DKUC-SHT-132--2-3 Years-2-3Y	1899	100
DKUC-SHT-132--3-4 years-3-4Y	1899	100
DKUC-SHT-132--4-5 Years-4-5Y	1899	100
DKUC-SHT-132--5-6 Years-5-6Y	1899	100
DKUC-SHT-132--6-7 Years-6-7Y	1899	100
DKUC-SHT-132--7-8 Years-7-8Y	1899	100
DKUC-SHT-132--8-9 Years-8-9Y	1899	100
DKUC-SHT-132--9-10 Years-9-10Y	1899	100
DKUC-SHT-132P--18-24 Months-18-24M	1899	100
DKUC-SHT-132P--2-3 Years-2-3Y	1899	100
DKUC-SHT-132P--3-4 years-3-4Y	1899	100
DKUC-SHT-132P--4-5 Years-4-5Y	1899	100
DKUC-SHT-132P--5-6 Years-5-6Y	1899	100
DKUC-SHT-132P--6-7 Years-6-7Y	1899	100
DKUC-SHT-132P--7-8 Years-7-8Y	1899	100
